"s.1","s.2","s.3","s.4","s.5","s.6","index","stat","p.value","taxon","q.value"
1,1,1,0,1,0,43,0.978543391889864,0.031,"OTU_103",1
1,0,1,0,0,0,8,1,0.084,"OTU_134",1
1,1,0,0,0,0,7,1,0.095,"OTU_137",1
1,1,1,0,1,0,43,0.954590280460835,0.143,"OTU_106",1
0,1,0,0,0,0,2,0.966091783079296,0.231,"OTU_124",1
0,1,0,0,0,0,2,0.966091783079296,0.24,"OTU_120",1
0,1,0,0,0,0,2,1,0.268,"OTU_138",1
0,1,0,0,0,0,2,1,0.268,"OTU_139",1
0,1,0,0,0,0,2,1,0.268,"OTU_140",1
0,0,1,0,0,0,3,1,0.288,"OTU_135",1
0,0,1,0,0,0,3,1,0.288,"OTU_136",1
0,0,0,0,1,0,5,1,0.318,"OTU_128",1
0,0,0,0,1,0,5,1,0.318,"OTU_129",1
0,0,0,0,1,0,5,1,0.318,"OTU_130",1
1,0,0,0,0,0,1,1,0.322,"OTU_141",1
1,0,0,0,0,0,1,1,0.322,"OTU_142",1
0,1,1,1,1,0,52,0.881917103688197,0.404,"OTU_082",1
0,0,0,1,0,0,4,0.707106781186548,0.444,"OTU_131",1
0,0,0,1,0,0,4,0.707106781186548,0.444,"OTU_133",1
0,0,0,1,0,0,4,0.707106781186548,0.492,"OTU_034",1
0,0,0,1,0,0,4,0.707106781186548,0.492,"OTU_132",1
0,0,0,0,1,0,5,0.881917103688197,0.553,"OTU_105",1
0,0,1,0,0,0,3,0.836660026534076,0.585,"OTU_031",1
0,1,0,0,1,0,14,0.797724035217466,0.718,"OTU_107",1
0,0,0,0,1,1,21,0.790569415042095,0.744,"OTU_080",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_006",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_007",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_008",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_038",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_004",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_052",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_058",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_037",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_002",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_083",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_094",1
0,0,0,0,0,1,6,0.534522483824849,1,"OTU_095",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_096",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_097",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_098",1
0,0,0,0,0,1,6,0.534522483824849,1,"OTU_099",1
0,0,0,0,0,1,6,0.534522483824849,1,"OTU_021",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_100",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_101",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_102",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_110",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_111",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_112",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_113",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_119",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_104",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_108",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_109",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_114",1
0,0,0,0,0,1,6,0.534522483824849,1,"OTU_115",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_116",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_117",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_118",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_121",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_122",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_123",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_125",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_126",1
0,0,0,0,0,1,6,0.377964473009227,1,"OTU_127",1
