"pair","F_stat","R2","p_value","p_adj"
"W vs N",1.2928,0.1145,0.175,1
"W vs E",0.6256,0.0725,0.985,1
"W vs S",0.7636,0.0984,0.864,1
"W vs NW",1.4809,0.1413,0.032,0.29
"N vs E",1.6314,0.1403,0.088,0.704
"N vs S",1.0859,0.1077,0.332,1
"N vs NW",0.9615,0.0804,0.478,1
"E vs S",0.8443,0.1076,0.742,1
"E vs NW",1.7488,0.1627,0.029,0.29
"S vs NW",1.2617,0.1362,0.223,1
