"pair","F_stat","R2","p_value","p_adj"
"W vs N",1.2548,0.2949,0.3,1
"W vs E",0.7896,0.2084,0.9,1
"W vs S",1.0559,0.2603,0.5,1
"N vs E",1.6196,0.4474,0.333333333333333,1
"N vs S",2.1142,0.5139,0.333333333333333,1
"E vs S",1.4226,0.4156,0.333333333333333,1
