"level","n_samples","n_taxa","prop_no_shared","nmds_stress","nmds_stress_strong","permanova_F","permanova_R2","permanova_p","anosim_R","anosim_p","betadisper_p"
"phylum",13,4,0,0.0399,0.0315,0.9158,0.3955,0.528,-0.0032,0.431,NA
"class",13,9,0.0128,0.1495,0.0545,1.9911,0.5872,0.025,0.4229,0.006,NA
"order",13,19,0.0256,0.1315,0.0872,1.3953,0.4992,0.098,0.2524,0.06,NA
"family",13,26,0.0385,0.149,0.1358,1.1705,0.4554,0.257,0.0276,0.447,NA
"genus",13,29,0.1154,0.151,0.1122,0.8187,0.369,0.866,-0.0252,0.563,NA
"species",13,30,0.4615,0.0781,0.1906,0.7961,0.3625,0.954,-0.2403,0.942,NA
"otu_97",13,64,0.3333,0.1192,0.1734,0.8339,0.3733,0.883,-0.1769,0.79,NA
"its_taxon",13,82,0.4487,0.0731,0.2015,0.9259,0.3981,0.743,-0.0714,0.648,NA
