"level","n_samples","n_taxa","prop_no_shared","nmds_stress","permanova_F","permanova_R2","permanova_p","anosim_R","anosim_p","betadisper_p"
"phylum",27,4,0,0.0054,1.0178,0.1562,0.467,0.0613,0.141,0.587
"class",27,8,0,0.0961,1.3581,0.198,0.213,0.1236,0.05,0.675
"order",27,22,0.0655,0.1361,1.0546,0.1609,0.416,0.0431,0.214,0.687
"family",27,28,0.1709,0.1465,1.0315,0.1579,0.415,0.0376,0.222,0.723
"genus",27,34,0.2536,0.1652,1.2668,0.1872,0.168,0.0899,0.072,0.62
"species",24,59,0.5652,1e-04,1.2025,0.202,0.122,0.1153,0.061,0.932
"its_taxon",27,242,0.5869,1e-04,1.1019,0.1669,0.159,0.0674,0.118,0.972
