"pair","F_stat","R2","p_value","p_adj"
"1 vs 4",0.6965,0.4105,1,1
"1 vs 6",1.0432,0.1481,0.472,1
"2 vs 4",0.7022,0.4125,1,1
"2 vs 6",0.9542,0.1372,0.753,1
"3 vs 4",0.5684,0.3624,1,1
"3 vs 6",0.9971,0.1425,0.617,1
"4 vs 5",0.6157,0.3811,1,1
"4 vs 6",1.0711,0.1327,0.459,1
"5 vs 6",0.8411,0.123,0.753,1
