"pair","F_stat","R2","p_value","p_adj"
"W vs N",0.5509,0.3552,1,1
"W vs E",0.8125,0.2889,1,1
"W vs S",0.9168,0.3143,1,1
"N vs E",0.8444,0.4578,0.666666666666667,1
"N vs S",0.8341,0.4548,1,1
"E vs S",1.2655,0.3875,0.333333333333333,1
