"level","n_samples","n_taxa","prop_no_shared","nmds_stress","nmds_stress_strong","permanova_F","permanova_R2","permanova_p","anosim_R","anosim_p","betadisper_p"
"phylum",33,4,0,0.026,0.0167,4.3727,0.3115,0.006,0.3041,0.001,0.202
"class",33,9,0.0379,0.1318,0.117,11.9278,0.5524,0.001,0.5447,0.001,0.137
"order",33,25,0.1155,0.1495,0.1362,11.5683,0.5448,0.001,0.6923,0.001,0.257
"family",33,34,0.214,0.1562,0.1359,10.0315,0.5093,0.001,0.6988,0.001,0.11
"genus",33,43,0.3314,0.1555,0.1637,8.49,0.4676,0.001,0.6918,0.001,0.067
"species",33,74,0.4962,1e-04,0.1963,5.0378,0.3426,0.001,0.5836,0.001,0.026
"otu_97",33,142,0.4242,0.1192,0.2144,4.9898,0.3404,0.001,0.665,0.001,0.118
"its_taxon",33,284,0.589,1e-04,0.249,3.0802,0.2416,0.001,0.6388,0.001,0.584
