"level","n_samples","n_taxa","prop_no_shared","nmds_stress","nmds_stress_strong","permanova_F","permanova_R2","permanova_p","anosim_R","anosim_p","betadisper_p"
"phylum",9,2,0,0,1e-04,0.417,0.2001,0.983,-0.0222,0.477,NA
"class",9,4,0,1e-04,0.0028,0.6822,0.2904,0.797,0.05,0.365,NA
"order",9,12,0,0.1005,1e-04,0.9628,0.3662,0.583,-0.1944,0.83,NA
"family",9,13,0,0.0671,0.0942,1.2748,0.4334,0.242,-0.0167,0.507,NA
"genus",9,17,0,0.0689,1e-04,0.9133,0.354,0.619,-0.1278,0.735,NA
"species",9,31,0,1e-04,1e-04,0.9675,0.3673,0.558,-0.1778,0.822,NA
"otu_97",9,67,0,1e-04,1e-04,1.2002,0.4186,0.154,0,0.485,NA
"its_taxon",9,121,0.2222,1e-04,1e-04,1.0637,0.3896,0.306,-0.0611,0.616,NA
