culture_code,otu_97,otu_985
221,OTU_002,OTU985_002
222,OTU_016,OTU985_042
223,OTU_016,OTU985_042
224,OTU_005,OTU985_015
225,OTU_016,OTU985_042
226,OTU_016,OTU985_042
227,OTU_008,OTU985_009
228,OTU_008,OTU985_009
229,OTU_001,OTU985_003
230,OTU_016,OTU985_044
231,OTU_005,OTU985_031
232,OTU_001,OTU985_003
233,OTU_008,OTU985_014
234,OTU_038,OTU985_031
235,OTU_029,OTU985_033
236,OTU_039,OTU985_045
237,OTU_008,OTU985_009
238,OTU_040,OTU985_046
239,OTU_041,OTU985_047
240,OTU_016,OTU985_034
241,OTU_043,OTU985_049
242,OTU_038,OTU985_031
243,OTU_044,OTU985_050
244,OTU_044,OTU985_050
246,OTU_044,OTU985_050
247,OTU_007,OTU985_008
248,OTU_027,OTU985_030
249,OTU_010,OTU985_011
251,OTU_045,OTU985_051
252,OTU_006,OTU985_052
253,OTU_045,OTU985_051
254,OTU_046,OTU985_053
255,OTU_047,OTU985_054
256,OTU_039,OTU985_045
257,OTU_048,OTU985_055
258,OTU_045,OTU985_051
259,OTU_031,OTU985_056
260,OTU_050,OTU985_058
261,OTU_038,OTU985_015
262,OTU_008,OTU985_009
263,OTU_051,OTU985_059
264,OTU_020,OTU985_023
265,OTU_038,OTU985_031
266,OTU_008,OTU985_009
267,OTU_052,OTU985_060
268,OTU_008,OTU985_009
269,OTU_008,OTU985_009
270,OTU_054,OTU985_062
271,OTU_055,OTU985_063
272,OTU_052,OTU985_060
273,OTU_052,OTU985_060
274,OTU_056,OTU985_064
276,OTU_057,OTU985_065
277,OTU_045,OTU985_051
278,OTU_057,OTU985_065
279,OTU_057,OTU985_065
281,OTU_020,OTU985_023
282,OTU_045,OTU985_051
283,OTU_058,OTU985_066
284,OTU_057,OTU985_065
285,OTU_045,OTU985_051
286,OTU_045,OTU985_051
287,OTU_059,OTU985_067
288,OTU_045,OTU985_051
289,OTU_038,OTU985_031
290,OTU_008,OTU985_014
291,OTU_008,OTU985_009
292,OTU_001,OTU985_003
293,OTU_008,OTU985_069
294,OTU_051,OTU985_059
295,OTU_051,OTU985_059
297,OTU_038,OTU985_015
298,OTU_044,OTU985_050
299,OTU_027,OTU985_030
300,OTU_051,OTU985_059
301,OTU_020,OTU985_023
302,OTU_009,OTU985_010
303,OTU_061,OTU985_070
304,OTU_052,OTU985_060
305,OTU_020,OTU985_023
306,OTU_005,OTU985_071
307,OTU_008,OTU985_069
308,OTU_020,OTU985_023
309,OTU_001,OTU985_003
310,OTU_043,OTU985_049
311,OTU_062,OTU985_072
312,OTU_045,OTU985_051
313,OTU_063,OTU985_073
314,OTU_064,OTU985_074
315,OTU_045,OTU985_051
316,OTU_045,OTU985_051
317,OTU_065,OTU985_075
318,OTU_020,OTU985_023
319,OTU_020,OTU985_023
321,OTU_001,OTU985_003
322,OTU_001,OTU985_003
324,OTU_004,OTU985_005
325,OTU_005,OTU985_006
326,OTU_008,OTU985_009
327,OTU_020,OTU985_023
328,OTU_066,OTU985_076
329,OTU_020,OTU985_023
330,OTU_052,OTU985_060
331,OTU_037,OTU985_043
332,OTU_067,OTU985_077
333,OTU_020,OTU985_023
334,OTU_043,OTU985_049
335,OTU_001,OTU985_003
336,OTU_020,OTU985_023
337,OTU_001,OTU985_003
338,OTU_068,OTU985_078
339,OTU_001,OTU985_003
341,OTU_045,OTU985_051
342,OTU_045,OTU985_051
346,OTU_001,OTU985_003
347,OTU_045,OTU985_051
348,OTU_045,OTU985_051
349,OTU_068,OTU985_078
351,OTU_008,OTU985_014
352,OTU_026,OTU985_079
353,OTU_038,OTU985_015
354,OTU_008,OTU985_069
355,OTU_001,OTU985_001
356,OTU_069,OTU985_080
357,OTU_027,OTU985_030
358,OTU_038,OTU985_015
359,OTU_020,OTU985_023
360,OTU_014,OTU985_017
361,OTU_048,OTU985_055
362,OTU_070,OTU985_081
363,OTU_045,OTU985_051
364,OTU_045,OTU985_051
365,OTU_045,OTU985_082
366,OTU_045,OTU985_082
367,OTU_071,OTU985_083
368,OTU_013,OTU985_016
369,OTU_048,OTU985_055
370,OTU_070,OTU985_081
371,OTU_045,OTU985_051
372,OTU_045,OTU985_051
373,OTU_045,OTU985_051
374,OTU_072,OTU985_084
375,OTU_071,OTU985_083
376,OTU_013,OTU985_016
377,OTU_073,OTU985_085
378,OTU_023,OTU985_026
379,OTU_045,OTU985_051
380,OTU_074,OTU985_086
381,OTU_001,OTU985_003
382,OTU_038,OTU985_015
383,OTU_005,OTU985_006
384,OTU_075,OTU985_087
385,OTU_052,OTU985_060
386,OTU_008,OTU985_088
387,OTU_008,OTU985_009
388,OTU_008,OTU985_009
389,OTU_002,OTU985_002
390,OTU_041,OTU985_047
391,OTU_077,OTU985_090
393,OTU_009,OTU985_091
394,OTU_078,OTU985_092
395,OTU_069,OTU985_080
396,OTU_037,OTU985_093
397,OTU_007,OTU985_008
398,OTU_038,OTU985_015
399,OTU_079,OTU985_094
400,OTU_045,OTU985_051
401,OTU_045,OTU985_051
402,OTU_001,OTU985_003
403,OTU_013,OTU985_016
404,OTU_007,OTU985_008
405,OTU_039,OTU985_045
406,OTU_045,OTU985_051
407,OTU_072,OTU985_084
408,OTU_005,OTU985_071
409,OTU_076,OTU985_089
410,OTU_003,OTU985_004
411,OTU_008,OTU985_014
412,OTU_008,OTU985_009
413,OTU_002,OTU985_002
414,OTU_005,OTU985_006
415,OTU_008,OTU985_069
416,OTU_080,OTU985_095
417,OTU_001,OTU985_003
418,OTU_008,OTU985_009
419,OTU_069,OTU985_080
420,OTU_052,OTU985_060
421,OTU_020,OTU985_096
422,OTU_020,OTU985_023
423,OTU_020,OTU985_023
425,OTU_052,OTU985_060
426,OTU_008,OTU985_009
427,OTU_038,OTU985_015
428,OTU_038,OTU985_015
429,OTU_020,OTU985_096
430,OTU_079,OTU985_094
431,OTU_052,OTU985_060
433,OTU_081,OTU985_097
